"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.222.128","10.220.104.180","TCP","74","44180 > EtherNet-IP-2 [SYN] Seq=0 Win=14600 Len=0 MSS=1460 SACK_PERM=1 TSval=95848 TSecr=0 WS=16"
"2","0.000349000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"3","0.000426000","192.168.222.128","10.220.104.180","TCP","54","44180 > EtherNet-IP-2 [ACK] Seq=1 Ack=1 Win=14600 Len=0"
"4","0.000863000","192.168.222.128","10.220.104.180","ENIP","82","Register Session (Req)"
"5","0.001030000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=1 Ack=29 Win=64240 Len=0"
"6","0.152924000","10.220.104.180","192.168.222.128","ENIP","82","Register Session (Rsp)"
"7","0.152949000","192.168.222.128","10.220.104.180","TCP","54","44180 > EtherNet-IP-2 [ACK] Seq=29 Ack=29 Win=14600 Len=0"
"8","0.153249000","192.168.222.128","10.220.104.180","CIP","100","Get Attribute All"
"9","0.153377000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=29 Ack=75 Win=64240 Len=0"
"10","0.247332000","10.220.104.180","192.168.222.128","CIP","116","Success"
"11","0.247477000","192.168.222.128","10.220.104.180","CIP CM","114","Unconnected Send: Get Attribute All"
"12","0.247619000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=91 Ack=135 Win=64240 Len=0"
"13","0.336669000","10.220.104.180","192.168.222.128","CIP","133","Success"
"14","0.337357000","192.168.222.128","10.220.104.180","CIP CM","124","Unconnected Send: Unknown Service (0x52)"
"15","0.337513000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=170 Ack=205 Win=64240 Len=0"
"16","0.423402000","10.220.104.180","192.168.222.128","CIP","102","Success"
"17","0.423597000","192.168.222.128","10.220.104.180","CIP CM","124","Unconnected Send: Unknown Service (0x52)"
"18","0.423763000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=218 Ack=275 Win=64240 Len=0"
"19","0.515458000","10.220.104.180","192.168.222.128","CIP","138","Success"
"20","0.515830000","192.168.222.128","10.220.104.180","CIP CM","130","Unconnected Send: Unknown Service (0x53)"
"21","0.516366000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=302 Ack=351 Win=64240 Len=0"
"22","0.602090000","10.220.104.180","192.168.222.128","CIP","98","Success"
"23","0.602331000","192.168.222.128","10.220.104.180","CIP CM","126","Unconnected Send: Unknown Service (0x52)"
"24","0.602478000","10.220.104.180","192.168.222.128","TCP","60","EtherNet-IP-2 > 44180 [ACK] Seq=346 Ack=423 Win=64240 Len=0"
"25","0.687210000","10.220.104.180","192.168.222.128","CIP","102","Success"
"26","0.687535000","192.168.222.128","10.220.104.180","TCP","54","44180 > EtherNet-IP-2 [RST, ACK] Seq=423 Ack=394 Win=14600 Len=0"
